ticker,price,change,volume
ZYME,24.18,3.98%,268,320
ZWS,48.82,-1.66%,170,287
ZVRA,12.87,1.74%,334,047
ZURA,4.32,2.13%,501,055
ZTO,21.99,-1.10%,465,990
ZLAB,18.68,1.09%,949,869
ZIM,25.57,1.19%,454,015
ZGN,13.33,-1.40%,340,136
ZG,30.67,0.67%,544,565
ZETA,19.91,7.80%,10,032,742
ZD,45.60,0.63%,162,012
ZBIO,20.53,-1.30%,150,736
Z,30.55,0.80%,1,003,094
YUMC,41.05,-1.17%,639,965
YSWY,21.27,2.43%,140,528
YSS,28.21,-2.60%,424,404
YPF,48.04,-2.89%,441,504
YMM,7.59,-3.74%,1,357,691
YEXT,3.98,1.14%,317,562
YETI,48.35,0.86%,389,755
YELP,22.61,0.65%,222,286
XXI,5.78,0.64%,632,087
XRX,3.20,4.58%,5,301,284
XRAY,10.20,0.54%,1,346,300
XPRO,13.75,-0.86%,170,942
XPOF,6.81,3.03%,169,005
XPEV,12.97,-2.88%,4,287,723
XP,15.76,-1.44%,1,612,905
XNDU,12.41,-1.06%,1,882,180
XNCR,14.36,2.53%,305,873
XMAX,8.41,2.81%,268,664
XIFR,11.56,-1.15%,160,472
XHR,20.19,0.46%,165,720
XERS,7.20,4.32%,923,265
XE,21.32,5.78%,1,969,375
WYFI,40.23,-10.14%,2,521,443
WY,24.27,0.06%,1,182,842
WWW,16.72,-3.46%,428,112
WVE,6.14,-0.57%,854,661
WULF,29.00,2.43%,12,395,238
WU,7.01,-1.20%,3,605,825
WTTR,18.51,0.19%,352,088
WTRG,37.15,1.29%,570,198
WTI,3.36,1.51%,1,396,611
WT,18.71,0.27%,788,133
WSR,18.93,-0.08%,96,722
WSE,10.90,0.55%,447,089
WSC,28.52,-1.75%,515,022
WSBC,37.09,1.06%,343,285
WRN,2.22,-4.51%,544,310
WRD,5.82,-3.56%,1,504,233
WRBY,26.47,-1.93%,792,864
WPP,17.24,-4.41%,1,212,464
WOOF,2.49,0.20%,742,810
WNC,12.43,3.03%,252,124
WMG,27.70,0.84%,403,343
WLTH,8.20,-0.18%,842,788
WKC,31.63,-0.16%,99,713
WK,46.57,1.28%,417,897
WIX,41.25,-1.46%,598,527
WIT,2.31,2.90%,5,615,557
WHR,37.35,2.14%,827,429
WHK,27.58,0.16%,41,531
WGO,28.46,0.49%,147,270
WEST,9.26,2.37%,131,145
WES,43.42,1.01%,259,133
WERN,40.90,0.09%,193,510
WEN,6.22,0.89%,3,221,714
WEAV,5.35,3.64%,402,321
WDS,19.85,-2.00%,285,585
WBI,28.84,-3.79%,1,294,493
WBD,26.79,-0.59%,6,209,696
WB,7.31,-0.63%,227,707
WAY,18.31,5.78%,1,137,006
WAFD,37.16,0.98%,110,440
VZLA,3.42,-2.75%,2,359,107
